start,end,duration_min
2020-04-09 14:55:00,2020-04-10 03:15:00,740.0
2020-04-10 03:35:00,2020-04-11 02:15:00,1360.0
2020-04-11 02:35:00,2020-04-12 15:25:00,2210.0
2020-04-12 16:30:00,2020-04-12 18:20:00,110.0
2020-04-12 18:40:00,2020-04-14 10:25:00,2385.0
2020-04-14 10:45:00,2020-04-17 12:55:00,4450.0
2020-04-17 13:10:00,2020-04-19 11:25:00,2775.0
2020-04-19 11:40:00,2020-04-22 03:15:00,3815.0
2020-04-22 03:35:00,2020-04-24 13:20:00,3465.0
2020-04-24 13:50:00,2020-04-25 23:30:00,2020.0
2020-04-26 00:05:00,2020-04-28 11:05:00,3540.0
2020-04-28 11:15:00,2020-04-29 15:55:00,1720.0
2020-04-29 16:15:00,2020-04-30 07:05:00,890.0
2020-04-30 07:25:00,2020-04-30 12:05:00,280.0
